year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2024,8,GMD,Industrial Goods & Services,24838956560000.0,1136805.1905,1516121.0159,1426863.5595,0.1579,0.1414,4020.77,19.9,2.62
2024,8,TCB,Banks,163796752711500.0,10416122.6667,10886701.0,7410911.373,0.1189,0.1621,3047.89,7.63,1.19
2024,8,GEX,Industrial Goods & Services,19371529290750.0,9598430.7619,12538884.1587,17602761.0675,0.2469,0.0841,1245.09,18.27,1.46
2024,8,HSG,Basic Resources,13428414336200.0,13052845.0952,13146523.5079,12408267.881,0.1955,0.1036,1844.27,11.82,1.21
2024,8,FOX,Telecommunications,46308174145100.0,161191.3333,288019.127,119494.7937,0.0689,0.2955,5213.87,18.03,5.06
2024,8,SAB,Food & Beverage,71053955408800.0,793214.619,1186711.746,831189.881,0.162,0.1721,3303.24,16.77,2.98
2024,8,HPG,Basic Resources,173978005440000.0,17165949.9524,22003810.0952,24452263.2222,0.2632,0.1072,1745.93,15.58,1.6
2024,8,VCS,Construction & Materials,10768000000000.0,251281.9524,366483.7619,191678.9444,0.1652,0.1748,5548.78,12.13,2.12
2024,8,MCH,Food & Beverage,142968323383092.0,124680.2381,215253.1429,88138.0516,0.1107,0.2825,10441.56,19.08,4.89
2024,9,SSI,Financial Services,50857973145300.0,13395512.5238,12081082.746,20112775.3889,0.058,0.1205,1891.39,17.82,2.06
2024,9,OCB,Banks,29342890908800.0,2048251.1429,1986283.1905,2447976.8492,0.0577,0.1295,1541.78,7.72,0.97
2024,9,VPB,Banks,150347852238950.0,17640920.1429,22644161.1111,15846473.6111,0.1098,0.0907,1531.82,12.37,1.13
2024,9,EIB,Banks,32293067045400.0,5557083.4762,6793672.0794,9658602.4286,0.1141,0.0979,1273.19,14.57,1.37
2024,9,MBS,Financial Services,15317608600000.0,3158994.1905,3551681.254,4357204.25,0.0818,0.1439,1666.94,16.8,2.83
2024,9,BVH,Insurance,33775685762000.0,620097.4762,765529.2698,555487.9762,0.1767,0.0829,2431.11,18.72,1.52
2024,9,HCM,Financial Services,20626353640200.0,9566518.2381,7368354.2857,7519431.6865,0.1301,0.1102,1729.77,16.94,1.93
2024,9,LPB,Banks,80309155462400.0,2875084.9524,4306111.381,4502250.9206,0.0532,0.2465,3480.62,9.02,2.09
2024,9,HDB,Banks,80677651897000.0,6581542.4286,7623673.3492,7444897.1429,0.0568,0.262,4158.38,6.66,1.59
2024,9,BID,Banks,278751315510000.03,2255811.4762,2432509.9048,1673598.9246,0.1012,0.188,4005.97,12.21,2.15
2024,9,ACB,Banks,110773116217600.0,6019643.1429,7722481.873,8521907.0357,0.07,0.2285,3675.65,6.75,1.48
2024,9,GMD,Industrial Goods & Services,24994200038500.0,825604.9524,1176003.7302,1393422.7421,0.1579,0.1414,4020.77,20.02,2.64
2024,9,TCB,Banks,164501254873700.0,16669166.1905,13324329.6508,8270044.381,0.1189,0.1621,3047.89,7.66,1.2
2024,9,HSG,Basic Resources,12812432027200.0,10142629.3333,13165565.0635,12081963.5595,0.1955,0.1036,1844.27,11.28,1.16
2024,9,GEX,Industrial Goods & Services,18009136021950.0,6704564.381,10044092.3492,16548354.619,0.2469,0.0841,1245.02,16.99,1.36
2024,9,FOX,Telecommunications,45813694944444.0,72411.8095,211161.6349,125082.75,0.0689,0.2955,5213.87,17.84,5.0
2024,9,SAB,Food & Beverage,73747336390000.0,888636.9524,1067298.3333,887421.7183,0.162,0.1721,3303.24,17.41,3.09
2024,9,HPG,Basic Resources,163104380100000.0,20990968.0952,20029625.0317,23752921.373,0.2632,0.1072,1745.93,14.61,1.5
2024,9,VCS,Construction & Materials,10720000000000.0,185590.2857,328279.1587,194159.869,0.1652,0.1748,5548.78,12.07,2.11
2024,9,MCH,Food & Beverage,150129044799972.0,66860.3333,148499.1746,91836.004,0.1107,0.2825,10441.56,20.04,5.14
2024,10,SSI,Financial Services,54753128081100.0,14088912.381,12539515.9524,18852822.5476,0.058,0.1205,1571.55,17.75,2.22
2024,10,OCB,Banks,29836048739200.0,1571893.0952,1886433.8889,2293660.8056,0.0577,0.1295,1541.78,7.85,0.99
2024,10,VPB,Banks,159471864380100.0,25628559.619,20562311.0476,16412138.6944,0.1098,0.0907,1531.82,13.12,1.2
2024,10,EIB,Banks,35019147411600.0,6371837.0952,6548820.5238,9458701.2341,0.1141,0.0979,1189.9,15.8,1.49
